id,start,end
0,89786,90322
1,89932,90322
2,90031,90322
3,90091,90322
4,92202,92483
5,91378,92646
6,91378,92701
7,94258,94971
8,94258,94998
9,94258,95031
10,94258,95055
11,94258,95067
12,95754,95985
13,95930,96165
14,95944,96165
15,95944,96203
16,95944,96206
17,96467,96820
18,96604,96820
19,97138,97855
20,97138,97908
21,97138,97978
22,97138,97987
23,97837,98033
24,97924,98136
25,97929,98136
26,97948,98136
27,97929,98167
28,97948,98167
29,97960,98167
30,97987,98167
31,97948,98173
32,97960,98173
33,97987,98173
34,97929,98278
35,97960,98278
36,97987,98278
37,98065,98278
38,98078,98278
39,98090,98278
40,98090,98302
41,98112,98302
42,98141,98322
43,98165,98365
44,98062,98396
45,98065,98396
46,98078,98396
47,98112,98396
48,98125,98396
49,98125,98396
50,98128,98396
51,98128,98396
52,98137,98396
53,98137,98396
54,98139,98396
55,98139,98396
56,98065,98411
57,98078,98411
58,98128,98411
59,98137,98411
60,98139,98411
61,98420,98638
62,98437,98638
63,97987,98663
64,98065,98663
65,98078,98663
66,98128,98663
67,98137,98663
68,98139,98663
69,98250,98663
70,98399,98663
71,98458,98663
72,98477,98663
73,98437,98691
74,98477,98691
75,98477,98696
76,98477,98766
77,98573,98766
78,98690,98959
79,98747,99002
80,98758,99002
81,98837,99020
82,98758,99044
83,98065,99124
84,98078,99124
85,98128,99124
86,98137,99124
87,98139,99124
88,98250,99124
89,98399,99124
90,98458,99124
91,98573,99124
92,98624,99124
93,98644,99124
94,98832,99124
95,98875,99124
96,98875,99339
97,99086,99421
98,99110,99421
99,99177,99421
100,99211,99421
101,99237,99421
102,98139,99494
103,98250,99494
104,98399,99494
105,98458,99494
106,98573,99494
107,98624,99494
108,98644,99494
109,98832,99494
110,97960,99560
111,98065,99560
112,98078,99560
113,98128,99560
114,98137,99560
115,98250,99560
116,98399,99560
117,98458,99560
118,98573,99560
119,98624,99560
120,98644,99560
121,98832,99560
122,99348,99560
123,99358,99560
124,98065,99675
125,98078,99675
126,98128,99675
127,98137,99675
128,98250,99675
129,98399,99675
130,98458,99675
131,98573,99675
132,98624,99675
133,98644,99675
134,98832,99675
135,99348,99675
136,99358,99675
137,99393,99675
138,99404,99675
139,99408,99675
140,99404,99716
141,99408,99716
142,98832,99733
143,99348,99733
144,99358,99733
145,99393,99733
146,99408,99733
147,99393,99782
148,99408,99782
149,98624,99933
150,98644,99933
151,99348,99933
152,99358,99933
153,99408,99933
154,99680,99933
155,99740,99933
156,100143,100589
157,100018,100703
158,100018,100704
159,100018,100737
160,100018,100742
161,100018,100808
162,100018,100838
163,100018,100856
164,100576,100856
165,100662,100856
166,100018,100870
167,100576,100870
168,100662,100870
169,100018,100880
170,100018,100893
171,100018,100926
172,100662,100926
173,100018,100964
174,100018,101106
175,100662,101106
176,100778,101106
177,100847,101106
178,100874,101106
179,100920,101106
180,100018,101116
181,100018,101116
182,100778,101116
183,100778,101116
184,100847,101116
185,100847,101116
186,100874,101116
187,100874,101116
188,100920,101116
189,100920,101116
190,100947,101155
191,100965,101157
192,100018,101172
193,100778,101172
194,100965,101172
195,100847,101182
196,100874,101182
197,100920,101182
198,100947,101182
199,100018,101225
200,100965,101225
201,100874,101261
202,100920,101261
203,100947,101261
204,100965,101261
205,100876,101273
206,100830,101338
207,100920,101340
208,100947,101340
209,101114,101340
210,101131,101340
211,100947,101355
212,101114,101355
213,101131,101355
214,101131,101373
215,101131,101389
216,101197,101389
217,101266,101494
218,101253,101533
219,101324,101533
220,101424,101619
221,101438,101619
222,100830,101622
223,101266,101665
224,101319,101665
225,101380,101665
226,101424,101665
227,101438,101665
228,101508,101696
229,101253,101907
230,101324,101907
231,101542,101941
232,101672,101941
233,101691,101941
234,101324,101975
235,101424,101979
236,101438,101979
237,101499,101979
238,101672,101979
239,101691,101979
240,101691,101979
241,101691,101992
242,101850,102166
243,101897,102166
244,101691,102196
245,102004,102196
246,102004,102296
247,102028,102296
248,102081,102296
249,102099,102296
250,101691,102460
251,102004,102460
252,102028,102460
253,102081,102460
254,102099,102460
255,102197,102460
256,101992,102469
257,102316,102709
258,102898,103553
259,102898,103667
260,102898,103712
261,102898,103733
262,102898,103739
263,102898,103788
264,102898,103794
265,102898,103875
266,103631,103875
267,102898,103879
268,103652,103879
269,102898,103907
270,103631,103907
271,102898,103914
272,103631,103914
273,102898,103968
274,103652,103968
275,102898,104053
276,103631,104053
277,103744,104053
278,103760,104053
279,103799,104053
280,102898,104167
281,103631,104167
282,103744,104167
283,103760,104167
284,103799,104167
285,103923,104167
286,103976,104167
287,103979,104167
288,102898,104240
289,103631,104240
290,103744,104240
291,103760,104240
292,103799,104240
293,103923,104240
294,103976,104240
295,103979,104240
296,104033,104240
297,104088,104273
298,104211,104390
299,104250,104463
300,103979,104493
301,104033,104493
302,104174,104493
303,104244,104493
304,103744,104495
305,103760,104495
306,103799,104495
307,103923,104495
308,103976,104495
309,104033,104495
310,104174,104495
311,104244,104495
312,104174,104507
313,104244,104507
314,104326,104507
315,103923,104657
316,103976,104657
317,104033,104657
318,104244,104657
319,104466,104657
320,104244,104709
321,104466,104709
322,104523,104709
323,104517,104710
324,102898,104738
325,103631,104738
326,103760,104738
327,103799,104738
328,103976,104738
329,104033,104738
330,104466,104738
331,104523,104738
332,103631,104739
333,103760,104739
334,103799,104739
335,103976,104739
336,104033,104739
337,104466,104739
338,104523,104739
339,104517,104753
340,104543,104753
341,103760,104892
342,103799,104892
343,103976,104892
344,104033,104892
345,104466,104892
346,104523,104892
347,104787,105003
348,104543,105083
349,104654,105083
350,104681,105083
351,104744,105083
352,104777,105083
353,104810,105083
354,105778,105963
355,105778,105984
356,106048,106235
357,106082,106312
358,105778,106473
359,105778,106589
360,105778,106606
361,105778,106631
362,106302,106631
