"","oid","x","y"
"1",862,486253.8,4207588.1
"2",862,486261.6,4207543.6
"3",862,486292.4,4207562.6
"4",862,486289.6,4207473.8
"5",862,486226.1,4207270.7
"6",862,486225.8,4207094.2
"7",862,486233.4,4206933.4
"8",862,486276.3,4206825.8
"9",862,486292.8,4206720.4
"10",862,486253.3,4206701.4
"11",862,486253.3,4206701.4
"12",862,NA,NA
"13",862,486212.9,4206704.8
"14",862,486203.2,4206706.1
"15",862,486203.2,4206706.1
"16",862,NA,NA
"17",862,486165.6,4206710.4
"18",862,486155,4206712.5
"19",862,486151.5,4206715.9
"20",862,NA,NA
"21",862,486141.8,4206703.7
"22",862,486186.3,4206573.7
"23",862,486210,4206519.5
"24",862,486219.6,4206492.8
"25",862,486221.3,4206521.5
"26",862,486217.9,4206575.7
"27",862,486210.1,4206582.5
"28",862,NA,NA
"29",862,NA,NA
"30",862,NA,NA
"31",862,NA,NA
"32",862,NA,NA
"33",862,NA,NA
"34",862,NA,NA
"35",862,NA,NA
"36",862,NA,NA
"37",862,NA,NA
"38",862,NA,NA
"39",862,NA,NA
"40",862,NA,NA
"41",862,NA,NA
"42",862,NA,NA
"43",862,NA,NA
"44",862,NA,NA
"45",862,NA,NA
"46",862,NA,NA
"47",862,NA,NA
"48",862,NA,NA
"49",862,NA,NA
"50",862,NA,NA
"51",862,NA,NA
"52",862,NA,NA
"53",862,NA,NA
"54",862,NA,NA
"55",862,NA,NA
"56",862,NA,NA
"57",862,NA,NA
"58",862,NA,NA
"59",862,NA,NA
"60",862,NA,NA
"61",862,NA,NA
"62",862,NA,NA
"63",862,NA,NA
"64",862,NA,NA
"65",862,NA,NA
"66",862,NA,NA
"67",862,NA,NA
"68",862,NA,NA
"69",862,NA,NA
"70",862,NA,NA
"71",862,NA,NA
"72",862,NA,NA
"73",862,NA,NA
"74",862,NA,NA
"75",862,NA,NA
"76",862,NA,NA
"77",862,NA,NA
"78",862,NA,NA
"79",862,NA,NA
"80",862,NA,NA
"81",862,NA,NA
"82",862,NA,NA
"83",862,NA,NA
"84",862,NA,NA
"85",862,NA,NA
"86",862,NA,NA
"87",862,NA,NA
"88",862,NA,NA
"89",862,NA,NA
"90",862,NA,NA
"91",862,NA,NA
"92",862,NA,NA
"93",862,NA,NA
"94",862,NA,NA
"95",862,NA,NA
"96",862,NA,NA
"97",862,NA,NA
"98",862,NA,NA
"99",862,NA,NA
"100",862,NA,NA
"101",862,NA,NA
"102",862,NA,NA
"103",862,NA,NA
"104",862,NA,NA
"105",862,NA,NA
"106",862,NA,NA
"107",862,NA,NA
"108",862,NA,NA
"109",862,NA,NA
"110",862,NA,NA
"111",862,NA,NA
"112",862,NA,NA
"113",862,NA,NA
"114",862,NA,NA
"115",862,NA,NA
"116",862,NA,NA
"117",862,NA,NA
"118",862,NA,NA
"119",862,NA,NA
"120",862,NA,NA
"121",862,NA,NA
"122",862,NA,NA
"123",862,NA,NA
"124",862,NA,NA
"125",862,NA,NA
"126",862,NA,NA
"127",862,NA,NA
"128",862,NA,NA
"129",862,NA,NA
"130",862,NA,NA
"131",862,NA,NA
"132",862,NA,NA
"133",862,NA,NA
"134",862,NA,NA
"135",862,NA,NA
"136",862,NA,NA
"137",862,NA,NA
"138",862,NA,NA
"139",862,NA,NA
"140",862,NA,NA
"141",862,NA,NA
"142",862,NA,NA
"143",862,NA,NA
"144",862,NA,NA
"145",862,NA,NA
"146",862,NA,NA
"147",862,NA,NA
"148",862,NA,NA
"149",862,NA,NA
"150",862,NA,NA
"151",862,NA,NA
"152",862,NA,NA
"153",862,NA,NA
"154",862,NA,NA
"155",862,NA,NA
"156",862,NA,NA
"157",862,NA,NA
"158",862,NA,NA
"159",862,NA,NA
"160",862,NA,NA
"161",862,NA,NA
"162",862,NA,NA
"163",862,NA,NA
"164",862,NA,NA
"165",862,NA,NA
"166",862,NA,NA
"167",862,NA,NA
"168",862,NA,NA
"169",862,NA,NA
"170",862,NA,NA
"171",862,NA,NA
"172",862,NA,NA
"173",862,NA,NA
"174",862,NA,NA
"175",862,NA,NA
"176",862,NA,NA
"177",862,NA,NA
"178",862,NA,NA
"179",862,NA,NA
"180",862,NA,NA
"181",862,NA,NA
